название;url;genre;подписки;просмотры;количество авторов
The RUNWAY;https://www.webtoons.com/en/romance/the-runway/list?title_no=3691;Romance;664095;23400000;3
My In-Laws are Obsessed with Me;https://www.webtoons.com/en/fantasy/my-inlaws-are-obsessed-with-me/list?title_no=3918;Fantasy;471823;12900000;2
Phase;https://www.webtoons.com/en/romance/phase/list?title_no=2117;Romance;1100000;56500000;1
Brass & Sass;https://www.webtoons.com/en/romance/brass-and-sass/list?title_no=1652;Romance;739115;61400000;1
Be My Villain;https://www.webtoons.com/en/romance/be-my-villain/list?title_no=2728;Romance;476128;16600000;1
Wished You Were Dead;https://www.webtoons.com/en/drama/wished-you-were-dead/list?title_no=3591;Drama;644346;20000000;4
For My Derelict Favorite;https://www.webtoons.com/en/romance/for-my-derelict-favorite/list?title_no=4571;Romance;320309;2100000;3
Happily Ever Afterwards;https://www.webtoons.com/en/fantasy/happily-ever-afterwards/list?title_no=2737;Fantasy;579658;30600000;2
Act Like You Love Me!;https://www.webtoons.com/en/romance/act-like-you-love-me/list?title_no=2521;Romance;941074;44000000;1
Edith;https://www.webtoons.com/en/romance/edith/list?title_no=1536;Romance;1300000;116200000;1
Perfect Marriage Revenge;https://www.webtoons.com/en/romance/perfect-marriage-revenge/list?title_no=3484;Romance;706724;27200000;3
I Love Yoo;https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986;Drama;4600000;568100000;1
Your Smile is a Trap;https://www.webtoons.com/en/romance/your-smile-is-a-trap/list?title_no=2052;Romance;941329;54600000;1
Men of the Harem;https://www.webtoons.com/en/fantasy/men-of-the-harem/list?title_no=2443;Fantasy;1300000;67700000;3
The Four of Them;https://www.webtoons.com/en/drama/the-four-of-them/list?title_no=1524;Drama;1100000;91700000;1
Nevermore;https://www.webtoons.com/en/supernatural/nevermore/list?title_no=2740;Supernatural;359664;6400000;2
To The Stars and Back;https://www.webtoons.com/en/slice-of-life/to-the-stars-and-back/list?title_no=4047;Slice of life;391641;20700000;1
See You in My 19th Life;https://www.webtoons.com/en/romance/see-you-in-my-19th-life/list?title_no=1266;Romance;1200000;69700000;1
Maid for Hire;https://www.webtoons.com/en/romance/maid-for-hire/list?title_no=2725;Romance;481040;17800000;2
His Majesty's Proposal;https://www.webtoons.com/en/fantasy/his-majestys-proposal/list?title_no=2674;Fantasy;767549;36600000;3
There Must Be Happy Endings;https://www.webtoons.com/en/romance/there-must-be-happy-endings/list?title_no=3065;Romance;565718;26200000;3
Bitten Contract;https://www.webtoons.com/en/romance/bitten-contract/list?title_no=3689;Romance;452406;13100000;1
Regina Rena:To the Unforgiven;https://www.webtoons.com/en/fantasy/regina-lena-to-the-unforgiven/list?title_no=3920;Fantasy;434409;8700000;3
She's Hopeless;https://www.webtoons.com/en/drama/shes-hopeless/list?title_no=2767;Drama;907356;37100000;1
Archie Comics:Big Ethel Energy;https://www.webtoons.com/en/drama/archie-comics-big-ethel-energy/list?title_no=3363;Drama;386417;20300000;3
The Witch and The Bull;https://www.webtoons.com/en/fantasy/the-witch-and-the-bull/list?title_no=1892;Fantasy;874975;53600000;1
Secretary Out-of-Order;https://www.webtoons.com/en/romance/secretary-out-of-order/list?title_no=3790;Romance;499157;15900000;2
Brimstone and Roses;https://www.webtoons.com/en/romance/brimstone-and-roses/list?title_no=1758;Romance;539564;34800000;1
The Newlywed Diaryof a Witch and a Dragon;https://www.webtoons.com/en/romance/the-newlywed-diary-of-a-witch-and-a-dragon/list?title_no=2448;Romance;831119;39500000;3
Twilight Poem;https://www.webtoons.com/en/fantasy/twilight-poem/list?title_no=4209;Fantasy;215949;2900000;2
To You Who Swallowed a Star;https://www.webtoons.com/en/romance/to-you-who-swallowed-a-star/list?title_no=2533;Romance;533570;26900000;1
The Prince of Southland;https://www.webtoons.com/en/romance/the-prince-of-southland/list?title_no=2522;Romance;369219;18300000;1
The Doctors are Out;https://www.webtoons.com/en/romance/the-doctors-are-out/list?title_no=1910;Romance;537392;37400000;1
Romance 101;https://www.webtoons.com/en/romance/romance-101/list?title_no=2406;Romance;604341;46300000;1
So I Married the Anti-Fan;https://www.webtoons.com/en/romance/so-i-married-the-antifan/list?title_no=2739;Romance;660888;25200000;2
My Reason to Die;https://www.webtoons.com/en/romance/my-reason-to-die/list?title_no=3993;Romance;280618;5100000;1
Can I Take It Back?;https://www.webtoons.com/en/romance/can-i-take-it-back/list?title_no=4355;Romance;229731;3300000;1
Half-Ghost;https://www.webtoons.com/en/romance/half-ghost/list?title_no=2765;Romance;297896;12500000;1
Another Love;https://www.webtoons.com/en/romance/another-love/list?title_no=3964;Romance;321613;8000000;3
Sable Curse;https://www.webtoons.com/en/fantasy/sable-curse/list?title_no=2735;Fantasy;134279;2200000;1
Long After the Ending;https://www.webtoons.com/en/romance/long-after-the-ending/list?title_no=4179;Romance;206274;3200000;2
Realta;https://www.webtoons.com/en/fantasy/realta/list?title_no=3271;Fantasy;143665;1500000;1
LoveBot;https://www.webtoons.com/en/sf/lovebot/list?title_no=2324;Sci-fi;354221;17100000;2
Cierra;https://www.webtoons.com/en/romance/cierra/list?title_no=3670;Romance;325033;5600000;2
A Chance At Last;https://www.webtoons.com/en/romance/a-chance-at-last/list?title_no=3909;Romance;198549;4800000;2
My Dud to Stud Boyfriend;https://www.webtoons.com/en/drama/my-dud-to-stud-boyfriend/list?title_no=4353;Drama;112140;2000000;2
Back to You;https://www.webtoons.com/en/drama/back-to-you/list?title_no=2113;Drama;719787;36800000;1
Date First, Love Later;https://www.webtoons.com/en/romance/date-first-love-later/list?title_no=3345;Romance;359065;13000000;3
Defects;https://www.webtoons.com/en/fantasy/defects/list?title_no=2731;Fantasy;212670;3000000;1
Spells From Hell;https://www.webtoons.com/en/fantasy/spells-from-hell/list?title_no=2431;Fantasy;435579;16300000;2
The Male Lead's Girl Friend;https://www.webtoons.com/en/romance/the-male-leads-girl-friend/list?title_no=3412;Romance;319675;11600000;2
My Younger Brother's Friend;https://www.webtoons.com/en/romance/my-younger-brothers-friend/list?title_no=3163;Romance;347190;12400000;1
Phone Addict;https://www.webtoons.com/en/romance/phone-addict/list?title_no=4187;Romance;167193;2400000;2
Daytime Star;https://www.webtoons.com/en/drama/daytime-star/list?title_no=3908;Drama;226679;5400000;2
Console Her;https://www.webtoons.com/en/romance/console-her/list?title_no=3054;Romance;76540;1200000;1
No Longer A Heroine!;https://www.webtoons.com/en/drama/no-longer-a-heroine/list?title_no=1264;Drama;426988;23700000;1
Secret Playlist;https://www.webtoons.com/en/romance/secret-playlist/list?title_no=2395;Romance;627550;30200000;1
A Whirlwind Campus Affair;https://www.webtoons.com/en/drama/a-whirlwind-campus-affair/list?title_no=4094;Drama;194695;3600000;1
Shadow Bride;https://www.webtoons.com/en/romance/shadow-bride/list?title_no=2618;Romance;413735;16500000;2
Devilish Romance;https://www.webtoons.com/en/supernatural/devilish-romance/list?title_no=2529;Supernatural;469482;17100000;2
Daily JoJo;https://www.webtoons.com/en/romance/daily-jojo/list?title_no=3335;Romance;147140;5700000;1
Flawless;https://www.webtoons.com/en/romance/flawless/list?title_no=3264;Romance;297552;8700000;1
The MatchmakingBaby Princess;https://www.webtoons.com/en/fantasy/the-matchmaking-baby-princess/list?title_no=3066;Fantasy;236421;8600000;2
The Prenup;https://www.webtoons.com/en/romance/the-prenup/list?title_no=4006;Romance;230722;5000000;3
The Fox Club;https://www.webtoons.com/en/romance/the-fox-club/list?title_no=4079;Romance;131896;3100000;1
Charming You;https://www.webtoons.com/en/romance/charming-you/list?title_no=4156;Romance;162145;2600000;2
The Double Agent;https://www.webtoons.com/en/historical/the-double-agent/list?title_no=3209;Historical;281556;7900000;3
Marry Me!;https://www.webtoons.com/en/romance/marry-me/list?title_no=1951;Romance;276509;20400000;1
Andy Bass;https://www.webtoons.com/en/comedy/andy-bass/list?title_no=2284;Comedy;171436;11200000;2
Rewriting Our Love Story;https://www.webtoons.com/en/romance/rewriting-our-love-story/list?title_no=4491;Romance;130719;1100000;2
Midnight Rain;https://www.webtoons.com/en/drama/midnight-rain/list?title_no=1797;Drama;372078;15700000;1
A Summer Night's Dream;https://www.webtoons.com/en/romance/a-summer-nights-dream/list?title_no=2956;Romance;369937;10400000;2
Mistake;https://www.webtoons.com/en/drama/mistake/list?title_no=4118;Drama;152668;2000000;2
The Girl Downstairs;https://www.webtoons.com/en/romance/the-girl-downstairs/list?title_no=1809;Romance;566846;38500000;1
Our Secret Alliance;https://www.webtoons.com/en/romance/our-secret-alliance/list?title_no=4178;Romance;158710;2100000;1
The Most Ordinary Girl;https://www.webtoons.com/en/romance/the-most-ordinary-girl/list?title_no=4173;Romance;133054;2100000;1
Lullaby;https://www.webtoons.com/en/fantasy/lullaby/list?title_no=4154;Fantasy;137236;2000000;2
The Nuna at Our Office;https://www.webtoons.com/en/drama/the-nuna-at-our-office/list?title_no=3089;Drama;233671;5800000;3
Threads of Love;https://www.webtoons.com/en/romance/threads-of-love/list?title_no=3337;Romance;231470;5600000;2
My Irresistible Ex;https://www.webtoons.com/en/romance/my-irresistible-ex/list?title_no=3348;Romance;253644;6000000;3
The Hip Guy;https://www.webtoons.com/en/comedy/the-hip-guy/list?title_no=2577;Comedy;236224;8500000;1
It Rains on Precious Days;https://www.webtoons.com/en/romance/it-rains-on-precious-days/list?title_no=4442;Romance;102958;1000000;2
My Roommate is a Gumiho;https://www.webtoons.com/en/romance/my-roommate-is-a-gumiho/list?title_no=2611;Romance;297419;14900000;1
Random Chat;https://www.webtoons.com/en/drama/random-chat/list?title_no=1669;Drama;353099;27600000;1
Religiously Gay;https://www.webtoons.com/en/romance/religiously-gay/list?title_no=2746;Romance;86986;1700000;1
Who's Mr. President?;https://www.webtoons.com/en/drama/whos-mr-president/list?title_no=4117;Drama;124195;1600000;2
How to Survive a Romance Fantasy;https://www.webtoons.com/en/fantasy/how-to-survive-a-romance-fantasy/list?title_no=2855;Fantasy;409849;9000000;1
Love Falls Like Rain;https://www.webtoons.com/en/romance/love-falls-like-rain/list?title_no=2856;Romance;170987;3800000;1
Opposite of Always;https://www.webtoons.com/en/romance/opposite-of-always/list?title_no=2743;Romance;102845;1500000;4
It Was All You;https://www.webtoons.com/en/sf/it-was-all-you/list?title_no=2675;Sci-fi;279246;8000000;3
Protect the Knight;https://www.webtoons.com/en/fantasy/protect-the-knight/list?title_no=3384;Fantasy;139724;3000000;1
Time and Reason;https://www.webtoons.com/en/romance/time-and-reason/list?title_no=4210;Romance;102812;1100000;1
Neolithic Girl;https://www.webtoons.com/en/fantasy/neolithic-girl/list?title_no=2851;Fantasy;267156;5800000;2
Prince Maker;https://www.webtoons.com/en/fantasy/prince-maker/list?title_no=3263;Fantasy;137327;3200000;1
#Blessed;https://www.webtoons.com/en/drama/blessed/list?title_no=1193;Drama;441206;21400000;1
Atelier on the Sunflower Hill;https://www.webtoons.com/en/fantasy/atelier-on-the-sunflower-hill/list?title_no=2883;Fantasy;159388;2100000;1
'Til Debt Do Us Part;https://www.webtoons.com/en/romance/til-debt-do-us-part/list?title_no=3115;Romance;429589;18400000;2
Write to Your Heart!;https://www.webtoons.com/en/drama/write-to-your-heart/list?title_no=4161;Drama;70310;1100000;1
Vampire Magicka;https://www.webtoons.com/en/fantasy/vampire-magicka/list?title_no=2963;Fantasy;68189;718817;1
Maya's World;https://www.webtoons.com/en/drama/mayas-world/list?title_no=3200;Drama;105175;2000000;1
Freaking Romance;https://www.webtoons.com/en/romance/freaking-romance/list?title_no=1467;Romance;3300000;277400000;1
Discovering Love: A Harlequin Romance Collection;https://www.webtoons.com/en/romance/discovering-love-a-harlequin-romance-collection/list?title_no=3791;Romance;60948;1000000;1
Nevertheless;https://www.webtoons.com/en/romance/nevertheless/list?title_no=2647;Romance;536999;14900000;1
My ID is Gangnam Beauty!;https://www.webtoons.com/en/drama/my-id-is-gangnam-beauty/list?title_no=3064;Drama;300140;10800000;1
Let Me Stay Over Tonight!;https://www.webtoons.com/en/romance/let-me-stay-over-tonight/list?title_no=2683;Romance;302834;12600000;2
Unwritten Death;https://www.webtoons.com/en/romance/muerte-no-escrita/list?title_no=3201;Romance;217834;7100000;1
My Dear Cold-Blooded King;https://www.webtoons.com/en/romance/my-dear-cold-blooded-king/list?title_no=961;Romance;2000000;291600000;1
Siren's Lament;https://www.webtoons.com/en/romance/sirens-lament/list?title_no=632;Romance;3100000;436600000;1
Rumor Has It;https://www.webtoons.com/en/romance/rumor-has-it/list?title_no=2967;Romance;194985;7300000;1
Before We Knew It;https://www.webtoons.com/en/romance/before-we-knew-it/list?title_no=1972;Romance;699166;45500000;1
Jumping Over;https://www.webtoons.com/en/romance/jumping-over/list?title_no=3238;Romance;71034;3200000;2
Swimming Lessons for a Mermaid;https://www.webtoons.com/en/romance/swimming-lessons-for-a-mermaid/list?title_no=1912;Romance;764843;53700000;1
Always Human;https://www.webtoons.com/en/romance/always-human/list?title_no=557;Romance;670077;49800000;1
To Love Your Enemy;https://www.webtoons.com/en/romance/to-love-your-enemy/list?title_no=2114;Romance;1900000;137900000;2
Our Beloved Summer;https://www.webtoons.com/en/romance/our-beloved-summer/list?title_no=3666;Romance;356944;5200000;2
When the Day Comes;https://www.webtoons.com/en/heartwarming/when-the-day-comes/list?title_no=2620;Heartwarming;240970;8100000;1
Where Tangents Meet;https://www.webtoons.com/en/romance/where-tangents-meet/list?title_no=421;Romance;1200000;93000000;1
Gourmet Hound;https://www.webtoons.com/en/drama/gourmet-hound/list?title_no=1245;Drama;865587;108300000;1
Whale Star: The Gyeongseong Mermaid;https://www.webtoons.com/en/drama/whale-star-the-gyeongseong-mermaid/list?title_no=3237;Drama;272875;9700000;1
Crumbs;https://www.webtoons.com/en/romance/crumbs/list?title_no=1648;Romance;311239;12400000;1
My Deepest Secret;https://www.webtoons.com/en/thriller/my-deepest-secret/list?title_no=1580;Thriller;2500000;190700000;1
A Good Day to be a Dog;https://www.webtoons.com/en/romance/a-good-day-tobe-a-dog/list?title_no=1390;Romance;1300000;104400000;1
Super Secret;https://www.webtoons.com/en/romance/super-secret/list?title_no=666;Romance;1800000;211200000;1
Age Matters;https://www.webtoons.com/en/romance/age-matters/list?title_no=1364;Romance;3600000;388600000;1
Moonlight Beauty Parlor;https://www.webtoons.com/en/drama/moonlight-beauty-parlor/list?title_no=3092;Drama;169479;4200000;1
There's Love Hidden in Lies;https://www.webtoons.com/en/romance/theres-love-hidden-in-lies/list?title_no=2467;Romance;286927;12200000;1
She Would Never Know;https://www.webtoons.com/en/romance/she-would-never-know/list?title_no=2508;Romance;424096;13400000;3
Devil Number 4;https://www.webtoons.com/en/supernatural/devil-no-4/list?title_no=1695;Supernatural;1800000;136300000;2
Tenants from Another World;https://www.webtoons.com/en/fantasy/tenants-from-another-world/list?title_no=3042;Fantasy;210604;3400000;2
The Makeup Remover;https://www.webtoons.com/en/romance/the-makeup-remover/list?title_no=2186;Romance;1200000;101200000;1
Ghost Wife;https://www.webtoons.com/en/romance/ghost-wife/list?title_no=1471;Romance;1300000;138000000;1
Dating With a Tail;https://www.webtoons.com/en/romance/dating-with-a-tail/list?title_no=1263;Romance;551129;23200000;2
Floating in My Mind;https://www.webtoons.com/en/supernatural/floating-in-my-mind/list?title_no=3485;Supernatural;143892;3100000;1
Kind of Love;https://www.webtoons.com/en/romance/kind-of-love/list?title_no=1850;Romance;650323;30600000;1
Cherry Blossoms;https://www.webtoons.com/en/romance/cherry-blossoms/list?title_no=1005;Romance;168758;2500000;1
Miss Abbott and the Doctor;https://www.webtoons.com/en/romance/miss-abbott-and-the-doctor/list?title_no=707;Romance;730720;95000000;1
Eggnoid;https://www.webtoons.com/en/sf/eggnoid/list?title_no=1229;Sci-fi;1400000;205800000;1
Double-Binded By Love;https://www.webtoons.com/en/romance/double-binded-by-love/list?title_no=3438;Romance;141927;2400000;2
Late Bloomer;https://www.webtoons.com/en/romance/late-bloomer/list?title_no=988;Romance;326210;15800000;1
Mystical;https://www.webtoons.com/en/supernatural/mystical/list?title_no=2128;Supernatural;633860;27100000;1
Days of Hana;https://www.webtoons.com/en/drama/days-of-hana/list?title_no=1246;Drama;1100000;103000000;1
The Wrath & the Dawn;https://www.webtoons.com/en/fantasy/the-wrath-and-the-dawn/list?title_no=1772;Fantasy;1000000;71000000;2
LUFF;https://www.webtoons.com/en/romance/luff/list?title_no=1489;Romance;1200000;92700000;1
Her Bucket List;https://www.webtoons.com/en/romance/her-bucket-list/list?title_no=2564;Romance;325945;9700000;2
Ecstasy Hearts;https://www.webtoons.com/en/sports/ecstasy-hearts/list?title_no=604;Sports;1400000;146300000;1
For the Sake of Sita;https://www.webtoons.com/en/romance/for-the-sake-of-sita/list?title_no=349;Romance;256493;8900000;1
My Universe;https://www.webtoons.com/en/romance/my-universe/list?title_no=3113;Romance;287508;8000000;2
Assassin Roommate;https://www.webtoons.com/en/romance/assassin-roommate/list?title_no=1050;Romance;871380;71500000;1
Big Jo;https://www.webtoons.com/en/romance/big-jo/list?title_no=854;Romance;552024;74100000;1
Warning Label;https://www.webtoons.com/en/romance/warning-label/list?title_no=1051;Romance;134308;7000000;1
Scorching Romance;https://www.webtoons.com/en/romance/scorching-romance/list?title_no=1662;Romance;614157;45700000;1
ORANGE MARMALADE;https://www.webtoons.com/en/romance/orange-marmalade/list?title_no=97;Romance;1000000;127200000;1
CinnamonRoll;https://www.webtoons.com/en/romance/cinnamonroll/list?title_no=2226;Romance;291289;7800000;1
Oh! Holy;https://www.webtoons.com/en/romance/oh-holy/list?title_no=809;Romance;1600000;140400000;1
Cheese in the Trap;https://www.webtoons.com/en/drama/cheese-in-the-trap/list?title_no=99;Drama;1100000;153700000;1
April Flowers;https://www.webtoons.com/en/fantasy/april-flowers/list?title_no=1363;Fantasy;385566;15900000;1
The Stories of Those Around Me;https://www.webtoons.com/en/romance/the-stories-of-those-around-me/list?title_no=96;Romance;253943;17000000;1
Soul on Hold;https://www.webtoons.com/en/supernatural/soul-on-hold/list?title_no=1701;Supernatural;268486;10400000;1
Salty Studio;https://www.webtoons.com/en/romance/salty-studio/list?title_no=74;Romance;328977;21500000;1
unTouchable;https://www.webtoons.com/en/romance/untouchable/list?title_no=79;Romance;1300000;171900000;1
Lilac 200%;https://www.webtoons.com/en/drama/lilac-200/list?title_no=3116;Drama;68814;2300000;1
Behind the Curtain;https://www.webtoons.com/en/romance/behind-the-curtain/list?title_no=2858;Romance;112824;1500000;1
Cupid's Arrows;https://www.webtoons.com/en/romance/cupids-arrows/list?title_no=1538;Romance;93866;3800000;1
How to Love;https://www.webtoons.com/en/slice-of-life/how-to-love/list?title_no=472;Slice of life;119315;11100000;1
Shard;https://www.webtoons.com/en/supernatural/shard/list?title_no=960;Supernatural;207594;13000000;1
A Fake Affair;https://www.webtoons.com/en/romance/a-fake-affiar/list?title_no=2276;Romance;44475;1300000;1
Laras's Heart;https://www.webtoons.com/en/drama/larashati/list?title_no=3483;Drama;89205;1400000;1
No Outtakes;https://www.webtoons.com/en/romance/no-outtakes/list?title_no=4013;Romance;173462;4900000;1
Publishing Love;https://www.webtoons.com/en/romance/publishing-love/list?title_no=4218;Romance;123780;2100000;2
Love and Leashes;https://www.webtoons.com/en/romance/love-and-leashes/list?title_no=3919;Romance;255720;11500000;1
A Heart for the Emperor;https://www.webtoons.com/en/romance/a-heart-for-the-emperor/list?title_no=4269;Romance;165832;3700000;3
Taming the Marquess;https://www.webtoons.com/en/romance/taming-the-marquess/list?title_no=4345;Romance;183608;4200000;3
AntiSTALKER;https://www.webtoons.com/en/romance/antistalker/list?title_no=2087;Romance;650404;43000000;1
School Bus Graveyard;https://www.webtoons.com/en/thriller/school-bus-graveyard/list?title_no=2705;Thriller;1000000;44200000;1
Lovely Hell;https://www.webtoons.com/en/fantasy/lovely-hell/list?title_no=3181;Fantasy;120074;3500000;1
Tricked into Becoming the Heroine's Stepmother;https://www.webtoons.com/en/fantasy/the-wicked-heroines-stepmother/list?title_no=3039;Fantasy;948116;42600000;2
Seasons of Blossom;https://www.webtoons.com/en/romance/seasonsofblossom/list?title_no=2509;Romance;847680;51700000;2
Agatha;https://www.webtoons.com/en/drama/agatha/list?title_no=3525;Drama;142837;3100000;1
Match Made in Hell;https://www.webtoons.com/en/romance/match-made-in-hell/list?title_no=2741;Romance;229617;7300000;1
The Princess's Jewels;https://www.webtoons.com/en/fantasy/the-princesss-jewels/list?title_no=2966;Fantasy;451017;19200000;2
Of Dark Lords and Cabbages;https://www.webtoons.com/en/romance/of-dark-lords-and-cabbages/list?title_no=2750;Romance;391902;12500000;1
Of Swamp & Sea;https://www.webtoons.com/en/supernatural/of-swamp-and-sea/list?title_no=2736;Supernatural;186550;5000000;1
Midnight Poppy Land;https://www.webtoons.com/en/romance/midnight-poppy-land/list?title_no=1798;Romance;2400000;216500000;1
When Jasy Whistles;https://www.webtoons.com/en/fantasy/when-jasy-whistles/list?title_no=2721;Fantasy;530459;18700000;1
Blades of Furry;https://www.webtoons.com/en/romance/blades-of-furry/list?title_no=2383;Romance;447470;29400000;2
Surviving Romance;https://www.webtoons.com/en/horror/survive-romance/list?title_no=2607;Horror;602186;27200000;1
Love Me Knot;https://www.webtoons.com/en/romance/love-me-knot/list?title_no=2224;Romance;914916;43500000;1
Castle Swimmer;https://www.webtoons.com/en/fantasy/castle-swimmer/list?title_no=1499;Fantasy;2500000;235500000;1
Beyond Virtual;https://www.webtoons.com/en/drama/beyond-virtual/list?title_no=2504;Drama;174463;3400000;1
Nice To Meet You;https://www.webtoons.com/en/romance/nice-to-meet-you/list?title_no=2066;Romance;1400000;78400000;1
LMLY;https://www.webtoons.com/en/romance/lmly/list?title_no=2700;Romance;466183;8300000;1
Kind of Confidential;https://www.webtoons.com/en/romance/kind-of-confidential/list?title_no=663;Romance;929352;63700000;1
Her Mannequin;https://www.webtoons.com/en/romance/her-mannequin/list?title_no=2875;Romance;249247;4000000;1
Athena Complex;https://www.webtoons.com/en/fantasy/athena-complex/list?title_no=867;Fantasy;545313;42200000;1
Not So Shoujo Love Story;https://www.webtoons.com/en/comedy/not-so-shoujo-love-story/list?title_no=2189;Comedy;716108;33200000;1
Blood-Ink;https://www.webtoons.com/en/action/blood-ink/list?title_no=1490;Action;644150;49500000;1
Death of a Pop Star;https://www.webtoons.com/en/romance/death-of-a-pop-star/list?title_no=2273;Romance;579875;22800000;1
Little Rain;https://www.webtoons.com/en/romance/little-rain/list?title_no=2612;Romance;363693;5400000;1
EMPYREA;https://www.webtoons.com/en/fantasy/empyrea/list?title_no=1407;Fantasy;631827;27300000;1
Version Day and Night;https://www.webtoons.com/en/drama/version-day-and-night/list?title_no=1796;Drama;479198;10500000;1
Red Hood: Outlaws;https://www.webtoons.com/en/action/red-hood-outlaws/list?title_no=4603;Action;236236;1300000;2
Be My Villain;https://www.webtoons.com/en/romance/be-my-villain/list?title_no=2728;Romance;476130;16600000;1
Hand Jumper;https://www.webtoons.com/en/thriller/hand-jumper/list?title_no=2702;Thriller;297381;5400000;1
Immortal Weakling;https://www.webtoons.com/en/super-hero/immortal-weakling/list?title_no=2733;Superhero;192909;1600000;2
Urban Animal;https://www.webtoons.com/en/super-hero/urban-animal/list?title_no=1483;Superhero;520509;32700000;2
Jupiter-Men;https://www.webtoons.com/en/action/jupiter-men/list?title_no=3757;Action;72683;493495;1
Vixen: NYC;https://www.webtoons.com/en/super-hero/vixen-nyc/list?title_no=4169;Superhero;108282;1200000;8
REAWAKENED MAN;https://www.webtoons.com/en/action/reawaken-man/list?title_no=3173;Action;186921;4700000;2
Super Awkward Man;https://www.webtoons.com/en/comedy/super-awkward-man/list?title_no=2972;Comedy;97147;1500000;2
Traveler;https://www.webtoons.com/en/super-hero/traveler/list?title_no=3205;Superhero;21742;181318;3
Eternals: The 500 Year War;https://www.webtoons.com/en/super-hero/eternals-500-year-war/list?title_no=3916;Superhero;172415;1000000;1
Toaster Dude;https://www.webtoons.com/en/comedy/toaster-dude/list?title_no=1983;Comedy;482017;27900000;2
SHADOW;https://www.webtoons.com/en/super-hero/shadow/list?title_no=281;Superhero;186863;3800000;2
SAMADHI;https://www.webtoons.com/en/super-hero/samadhi/list?title_no=3049;Superhero;197693;4900000;2
The Fever King;https://www.webtoons.com/en/super-hero/the-fever-king/list?title_no=1659;Superhero;528610;24200000;2
Supersonic Girl;https://www.webtoons.com/en/super-hero/supersonic-girl/list?title_no=633;Superhero;215043;12500000;1
SIDEKICKS;https://www.webtoons.com/en/super-hero/sidekicks/list?title_no=92;Superhero;209355;18500000;1
Arma;https://www.webtoons.com/en/super-hero/arma/list?title_no=1640;Superhero;261204;12200000;1
I Don't Want This Kind of Hero;https://www.webtoons.com/en/super-hero/i-dont-want-this-kind-of-hero/list?title_no=98;Superhero;369537;39900000;1
Magical 12th Graders;https://www.webtoons.com/en/super-hero/magical-12th-graders/list?title_no=90;Superhero;155938;11700000;2
The Badguys;https://www.webtoons.com/en/super-hero/the-bad-guys/list?title_no=701;Superhero;103861;5800000;2
Heroine Chic;https://www.webtoons.com/en/super-hero/heroine-chic/list?title_no=561;Superhero;275362;24600000;2
The Red Hook;https://www.webtoons.com/en/super-hero/the-red-hook/list?title_no=643;Superhero;33462;1100000;1
XINK3R;https://www.webtoons.com/en/super-hero/xinker/list?title_no=541;Superhero;122599;13000000;1
Power Ballad;https://www.webtoons.com/en/super-hero/power-ballad/list?title_no=987;Superhero;38256;1200000;1
Pound;https://www.webtoons.com/en/action/pound/list?title_no=1496;Action;96855;3700000;2
The Purple Heart;https://www.webtoons.com/en/super-hero/the-purple-heart/list?title_no=723;Superhero;35608;926656;2
The Brooklynite;https://www.webtoons.com/en/super-hero/the-brooklynite/list?title_no=813;Superhero;21039;655119;2
Cyberforce;https://www.webtoons.com/en/super-hero/cyberforce/list?title_no=531;Superhero;39078;1700000;1
The Red Hook: War Cry;https://www.webtoons.com/en/super-hero/war-cry/list?title_no=1247;Superhero;26498;729899;1
Inarime;https://www.webtoons.com/en/super-hero/inarime/list?title_no=675;Superhero;103277;2800000;2
Cyko-KO;https://www.webtoons.com/en/super-hero/cyko-ko/list?title_no=560;Superhero;7845;245888;1
The Red Hook: STARCROSS;https://www.webtoons.com/en/super-hero/star-cross/list?title_no=1599;Superhero;18146;267569;1
The Red Hook: Blackout & PTSD;https://www.webtoons.com/en/super-hero/the-red-hook-blackout/list?title_no=2282;Superhero;19461;208448;1
Kind of Confidential;https://www.webtoons.com/en/romance/kind-of-confidential/list?title_no=663;Romance;929352;63700000;1
Lavender Jack;https://www.webtoons.com/en/super-hero/lavender-jack/list?title_no=1410;Superhero;113323;4900000;1
Outrage;https://www.webtoons.com/en/super-hero/outrage/list?title_no=1450;Superhero;227906;6100000;2
Backchannel;https://www.webtoons.com/en/super-hero/backchannel/list?title_no=1456;Superhero;150118;2100000;2
Down To Earth;https://www.webtoons.com/en/romance/down-to-earth/list?title_no=1817;Romance;2900000;302200000;1
Phase;https://www.webtoons.com/en/romance/phase/list?title_no=2117;Romance;1100000;56500000;1
The Gamer;https://www.webtoons.com/en/action/the-gamer/list?title_no=88;Action;2000000;438100000;2
City of Blank;https://www.webtoons.com/en/sf/city-of-blank/list?title_no=1895;Sci-fi;623695;33700000;1
The Prince of Southland;https://www.webtoons.com/en/romance/the-prince-of-southland/list?title_no=2522;Romance;369219;18300000;1
Rebirth;https://www.webtoons.com/en/sf/rebirth/list?title_no=1412;Sci-fi;1200000;104200000;1
"In the Bleak Midwinter;";https://www.webtoons.com/en/sf/in-the-bleak-midwinter/list?title_no=1946;Sci-fi;608950;23400000;2
LoveBot;https://www.webtoons.com/en/sf/lovebot/list?title_no=2324;Sci-fi;354222;17100000;2
Never-Ending Darling;https://www.webtoons.com/en/thriller/never-ending-darling/list?title_no=4212;Thriller;120572;1900000;1
